timestamp_transactions,amount_of_data,difficulty,mine_time(sec)
1591315200000, 1, 4, 0.522822
1591318800000, 1, 4, 1.649453
1591322400000, 1, 4, 1.466508
1591326000000, 1, 4, 0.068814
1591329600000, 1, 4, 0.951726
1591333200000, 1, 4, 0.326207
1591336800000, 1, 4, 0.18489
1591340400000, 1, 4, 1.124836
1591344000000, 1, 4, 0.85775
1591347600000, 1, 4, 1.594346
1591351200000, 1, 4, 0.635418
1591354800000, 1, 4, 1.338313
1591358400000, 1, 4, 6.88431
1591362000000, 1, 4, 1.898753
1591365600000, 1, 4, 1.417766
1591369200000, 1, 4, 0.649121
1591372800000, 1, 4, 0.998301
1591376400000, 1, 4, 0.158341
1591380000000, 1, 4, 1.255604
1591383600000, 1, 4, 1.136512
1591387200000, 1, 4, 0.517401
1591390800000, 1, 4, 0.363805
1591394400000, 1, 4, 1.214835
1591398000000, 1, 4, 0.391006
1591401600000, 1, 4, 0.048355
