timestamp_transactions,amount_of_data,difficulty,consensu(sec),collisions
1591315200000, 1, 4, 33.989281, 4
1591318800000, 1, 4, 5.146703, 4
1591322400000, 1, 4, 8.405412, 5
1591326000000, 1, 4, 5.34762, 5
1591329600000, 1, 4, 10.240906, 6
1591333200000, 1, 4, 13.659414, 7
1591336800000, 1, 4, 7.044136, 7
1591340400000, 1, 4, 13.283344, 8
1591344000000, 1, 4, 4.26911, 8
1591347600000, 1, 4, 4.487662, 8
1591351200000, 1, 4, 4.745449, 8
1591354800000, 1, 4, 4.373537, 8
1591358400000, 1, 4, 3.948547, 8
1591362000000, 1, 4, 11.856431, 9
1591365600000, 1, 4, 4.983863, 9
1591369200000, 1, 4, 18.575083, 11
1591372800000, 1, 4, 14.414501, 12
1591376400000, 1, 4, 4.849942, 12
1591380000000, 1, 4, 5.294089, 12
1591383600000, 1, 4, 5.358462, 12
1591387200000, 1, 4, 13.447225, 13
1591390800000, 1, 4, 3.968814, 13
1591394400000, 1, 4, 4.859439, 13
1591398000000, 1, 4, 7.416878, 13
1591401600000, 1, 4, 6.271145, 13
